   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      58       1     1.19999997E+001   7.17374060E+003   5.24182327E-002   2.83981441E+003   2.83976199E+003  -6.32356984E-002  -1.70344450E+002  -1.70281214E+002   2.83978007E+003  -4.51627880E-002   2.83982523E+003   3.43453223E-002  -1.70326377E+002  -1.70292032E+002
      59       1     1.19999997E+001   7.17346153E+003   5.19214800E-002   2.83966261E+003   2.83961069E+003  -6.28040483E-002  -1.70413137E+002  -1.70350333E+002   2.83962875E+003  -4.47437443E-002   2.83967349E+003   3.38611760E-002  -1.70395076E+002  -1.70361215E+002
      60       1     1.19999997E+001   7.17318159E+003   5.13694312E-002   2.83951030E+003   2.83945894E+003  -6.23299284E-002  -1.70482006E+002  -1.70419676E+002   2.83947694E+003  -4.43231951E-002   2.83952127E+003   3.33626979E-002  -1.70463999E+002  -1.70430636E+002
      61       1     1.19999997E+001   7.17290084E+003   5.07858486E-002   2.83935754E+003   2.83930676E+003  -6.18581059E-002  -1.70551059E+002  -1.70489201E+002   2.83932466E+003  -4.39512731E-002   2.83936861E+003   3.28790158E-002  -1.70533152E+002  -1.70500273E+002
      62       1     1.19999997E+001   7.17261921E+003   5.01229815E-002   2.83920426E+003   2.83915414E+003  -6.13160224E-002  -1.70620293E+002  -1.70558977E+002   2.83917196E+003  -4.34989364E-002   2.83921546E+003   3.23058955E-002  -1.70602476E+002  -1.70570170E+002
      63       1     1.19999997E+001   7.17233676E+003   4.94680453E-002   2.83905053E+003   2.83900106E+003  -6.07974788E-002  -1.70689743E+002  -1.70628946E+002   2.83901880E+003  -4.30564874E-002   2.83906186E+003   3.17270539E-002  -1.70672002E+002  -1.70640275E+002
      64       1     1.19999997E+001   7.17205300E+003   4.87861460E-002   2.83889607E+003   2.83884728E+003  -6.02179481E-002  -1.70759503E+002  -1.70699285E+002   2.83886498E+003  -4.25241919E-002   2.83890750E+003   3.10923898E-002  -1.70741809E+002  -1.70710717E+002
      65       1     1.19999997E+001   7.17176794E+003   4.81125487E-002   2.83874091E+003   2.83869280E+003  -5.96490377E-002  -1.70829587E+002  -1.70769938E+002   2.83871043E+003  -4.20107386E-002   2.83875244E+003   3.04742496E-002  -1.70811949E+002  -1.70781474E+002
      66       1     1.19999997E+001   7.17148147E+003   4.74557836E-002   2.83858500E+003   2.83853754E+003  -5.90838924E-002  -1.70900020E+002  -1.70840936E+002   2.83855511E+003  -4.15153988E-002   2.83859663E+003   2.98872901E-002  -1.70882451E+002  -1.70852564E+002
      67       1     1.19999997E+001   7.17119365E+003   4.67464651E-002   2.83842832E+003   2.83838157E+003  -5.84870703E-002  -1.70970766E+002  -1.70912279E+002   2.83839906E+003  -4.09947212E-002   2.83844006E+003   2.92541160E-002  -1.70953274E+002  -1.70924020E+002
      68       1     1.19999997E+001   7.17090440E+003   4.60765998E-002   2.83827088E+003   2.83822480E+003  -5.79065136E-002  -1.71041887E+002  -1.70983980E+002   2.83824224E+003  -4.04694589E-002   2.83828271E+003   2.86395452E-002  -1.71024450E+002  -1.70995810E+002
      69       1     1.19999997E+001   7.17061372E+003   4.53380915E-002   2.83811263E+003   2.83806729E+003  -5.72745810E-002  -1.71113325E+002  -1.71056051E+002   2.83808465E+003  -3.99187079E-002   2.83812457E+003   2.79822184E-002  -1.71095969E+002  -1.71067987E+002
      70       1     1.19999997E+001   7.17032158E+003   4.46322398E-002   2.83795360E+003   2.83790897E+003  -5.66547670E-002  -1.71185145E+002  -1.71128490E+002   2.83792628E+003  -3.93402315E-002   2.83796562E+003   2.73177043E-002  -1.71167831E+002  -1.71140513E+002
      71       1     1.19999997E+001   7.17002773E+003   4.39504252E-002   2.83779364E+003   2.83774969E+003  -5.60625983E-002  -1.71257409E+002  -1.71201347E+002   2.83776700E+003  -3.87562696E-002   2.83780575E+003   2.66440965E-002  -1.71240103E+002  -1.71213459E+002
      72       1     1.19999997E+001   7.16971801E+003   4.26564491E-002   2.83762483E+003   2.83758217E+003  -5.50094404E-002  -1.71333217E+002  -1.71278207E+002   2.83759903E+003  -3.81525362E-002   2.83763718E+003   2.57995449E-002  -1.71316360E+002  -1.71290560E+002
      73       1     1.19999997E+001   7.16940399E+003   4.19942905E-002   2.83745390E+003   2.83741190E+003  -5.43466273E-002  -1.71410494E+002  -1.71356148E+002   2.83742892E+003  -3.73302762E-002   2.83746625E+003   2.49779395E-002  -1.71393478E+002  -1.71368500E+002
      74       1     1.19999997E+001   7.16909995E+003   4.11978757E-002   2.83728829E+003   2.83724709E+003  -5.36885022E-002  -1.71485269E+002  -1.71431581E+002   2.83726423E+003  -3.65479618E-002   2.83730078E+003   2.40573352E-002  -1.71468129E+002  -1.71444071E+002
      75       1     1.19999997E+001   7.16879101E+003   4.07804031E-002   2.83712033E+003   2.83707955E+003  -5.30904221E-002  -1.71561330E+002  -1.71508239E+002   2.83709668E+003  -3.59604720E-002   2.83713264E+003   2.36504530E-002  -1.71544200E+002  -1.71520549E+002
      76       1     1.19999997E+001   7.16847699E+003   4.12680501E-002   2.83694984E+003   2.83690857E+003  -5.34100207E-002  -1.71639310E+002  -1.71585900E+002   2.83692652E+003  -3.54620913E-002   2.83696198E+003   2.33201207E-002  -1.71621362E+002  -1.71598042E+002
      77       1     1.19999997E+001   7.16816881E+003   4.03306200E-002   2.83678191E+003   2.83674158E+003  -5.28098028E-002  -1.71715038E+002  -1.71662229E+002   2.83675946E+003  -3.49280702E-002   2.83679439E+003   2.24488874E-002  -1.71697157E+002  -1.71674708E+002
      78       1     1.19999997E+001   7.16784692E+003   3.80353567E-002   2.83660563E+003   2.83656760E+003  -5.12836763E-002  -1.71793700E+002  -1.71742416E+002   2.83658587E+003  -3.30130126E-002   2.83661888E+003   1.97646931E-002  -1.71775429E+002  -1.71755664E+002
      79       1     1.19999997E+001   7.16753362E+003   3.65074128E-002   2.83643451E+003   2.83639801E+003  -5.04954691E-002  -1.71870507E+002  -1.71820012E+002   2.83641623E+003  -3.22745590E-002   2.83644850E+003   1.82865026E-002  -1.71852286E+002  -1.71834000E+002
      80       1     1.19999997E+001   7.16721743E+003   3.57341719E-002   2.83626234E+003   2.83622660E+003  -4.99081705E-002  -1.71948269E+002  -1.71898361E+002   2.83624477E+003  -3.17368388E-002   2.83627651E+003   1.75628402E-002  -1.71930098E+002  -1.71912535E+002
      81       1     1.19999997E+001   7.16689917E+003   3.46546289E-002   2.83608882E+003   2.83605417E+003  -4.91378410E-002  -1.72026449E+002  -1.71977311E+002   2.83607241E+003  -3.08976343E-002   2.83610331E+003   1.64144222E-002  -1.72008209E+002  -1.71991795E+002
      82       1     1.19999997E+001   7.16657912E+003   3.37717723E-002   2.83591447E+003   2.83588070E+003  -4.83893272E-002  -1.72105131E+002  -1.72056742E+002   2.83589902E+003  -3.00721435E-002   2.83592909E+003   1.54545885E-002  -1.72086814E+002  -1.72071359E+002
      83       1     1.19999997E+001   7.16625610E+003   3.31912954E-002   2.83573864E+003   2.83570545E+003  -4.78632603E-002  -1.72184718E+002  -1.72136854E+002   2.83572399E+003  -2.93134873E-002   2.83575331E+003   1.46415224E-002  -1.72166168E+002  -1.72151526E+002
      84       1     1.19999997E+001   7.16593085E+003   3.24905556E-002   2.83556160E+003   2.83552911E+003  -4.71936197E-002  -1.72264722E+002  -1.72217529E+002   2.83554762E+003  -2.86830595E-002   2.83557630E+003   1.39799955E-002  -1.72246212E+002  -1.72232232E+002
      85       1     1.19999997E+001   7.16560190E+003   3.16385487E-002   2.83538240E+003   2.83535077E+003  -4.65110629E-002  -1.72345640E+002  -1.72299129E+002   2.83536939E+003  -2.78847554E-002   2.83539728E+003   1.30122413E-002  -1.72327014E+002  -1.72314001E+002
      86       1     1.19999997E+001   7.16526875E+003   3.16637698E-002   2.83520140E+003   2.83516974E+003  -4.65351967E-002  -1.72427996E+002  -1.72381461E+002   2.83518850E+003  -2.77731037E-002   2.83521627E+003   1.29016768E-002  -1.72409234E+002  -1.72396333E+002
