    iLoop            EVM               SVM               E11               E22               E33               E12               E13               E23               S11               S22               S33               S12               S13               S23              EpVM              dEVM             dEpVM             TotDens         TotJunctDens         DTIME           DTIMETOT
        40     1.19999997E+001   7.17889581E+003  -2.92237120E-020  -3.14021749E-020  -1.19999997E+001   1.88241906E-020   3.01543729E-020   2.58345049E-020  -6.98958421E+003  -6.98957897E+003  -1.41595162E+004  -2.07028397E+002   2.78103161E-001  -2.78764199E-001   2.00719951E-002   1.19826554E+001   0.00000000E+000   9.77913610E+014   0.00000000E+000   1.00000000E-014   4.00000000E-013
        41     1.19999997E+001   7.17861772E+003   2.61608690E-020   6.25580154E-021  -1.19999997E+001   5.40202707E-021  -8.03834267E-020  -5.70053174E-020  -6.98967941E+003  -6.98967424E+003  -1.41593257E+004  -2.07112493E+002   2.86109163E-001  -2.86735732E-001   2.06406499E-002   1.19821642E+001   0.00000000E+000   9.83332520E+014   0.00000000E+000   1.00000000E-014   4.10000000E-013
        42     1.19999997E+001   7.17833801E+003   3.26142840E-021   4.98245625E-020  -1.19999997E+001   1.04755807E-020  -7.97905036E-020   1.63900875E-020  -6.98977517E+003  -6.98977008E+003  -1.41591341E+004  -2.07197083E+002   2.94161625E-001  -2.94755587E-001   2.12126414E-002   1.19816701E+001   0.00000000E+000   9.88753144E+014   0.00000000E+000   1.00000000E-014   4.20000000E-013
        43     1.19999997E+001   7.17805667E+003   1.42723190E-020  -2.30227526E-020  -1.19999997E+001   1.86539568E-021  -3.20601971E-020  -1.77876919E-021  -6.98987149E+003  -6.98986648E+003  -1.41589414E+004  -2.07282168E+002   3.02260616E-001  -3.02824048E-001   2.17879771E-002   1.19811731E+001   0.00000000E+000   9.94175517E+014   0.00000000E+000   1.00000000E-014   4.30000000E-013
        44     1.19999997E+001   7.17777369E+003   2.03055263E-020  -1.81059083E-020  -1.19999997E+001   6.17337299E-021   8.47032947E-021  -4.56550759E-020  -6.98996837E+003  -6.98996344E+003  -1.41587476E+004  -2.07367747E+002   3.10406179E-001  -3.10941197E-001   2.23666541E-002   1.19806732E+001   0.00000000E+000   9.99599576E+014   0.00000000E+000   1.00000000E-014   4.40000000E-013
        45     1.19999997E+001   7.17748909E+003  -1.23456706E-020   9.07533764E-020  -1.19999997E+001  -1.46855578E-021  -2.64697796E-020  -5.41677570E-020  -6.99006581E+003  -6.99006096E+003  -1.41585526E+004  -2.07453818E+002   3.18598328E-001  -3.19107081E-001   2.29486650E-002   1.19801704E+001   0.00000000E+000   1.00502521E+015   0.00000000E+000   1.00000000E-014   4.50000000E-013
        46     1.19999997E+001   7.17714196E+003  -1.92438193E-020  -2.10788781E-020  -1.19999997E+001  -2.19536216E-020  -4.18857792E-020  -3.97681969E-020  -6.99018606E+003  -6.99017849E+003  -1.41583148E+004  -2.07558803E+002   3.26841434E-001  -3.27328338E-001   2.36580774E-002   1.19795572E+001   0.00000000E+000   1.01309221E+015   0.00000000E+000   1.00000000E-014   4.60000000E-013
        47     1.19999997E+001   7.17679375E+003   1.85209875E-020  -6.64929135E-021  -1.19999997E+001  -3.44508317E-021   5.97581744E-020   5.75982404E-021  -6.99030633E+003  -6.99029676E+003  -1.41580763E+004  -2.07664115E+002   3.38695341E-001  -3.39553068E-001   2.43707557E-002   1.19789421E+001   0.00000000E+000   1.02149513E+015   3.76961875E+011   1.00000000E-014   4.70000000E-013
        48     1.19999997E+001   7.17647827E+003   3.34472962E-020  -4.63993730E-020  -1.19999997E+001   9.97472285E-021  -1.40183953E-020  -8.55503277E-020  -6.99040991E+003  -6.99040929E+003  -1.41578602E+004  -2.07759530E+002   3.46816061E-001  -3.47360283E-001   2.50156373E-002   1.19783848E+001   0.00000000E+000   1.02820211E+015   7.26301419E+011   1.00000000E-014   4.80000000E-013
        49     1.19999997E+001   7.17620902E+003  -3.48727352E-020  -7.02273031E-020  -1.19999997E+001   2.62983878E-020  -9.87640416E-020   2.01170325E-020  -6.99050225E+003  -6.99050140E+003  -1.41576757E+004  -2.07840962E+002   3.54908056E-001  -3.55457952E-001   2.55663789E-002   1.19779091E+001   0.00000000E+000   1.03303021E+015   1.07039007E+012   1.00000000E-014   4.90000000E-013
        50     1.19999997E+001   7.17593811E+003   1.75031004E-020  -3.01393182E-020  -1.19999997E+001   1.73016612E-020  -3.48554058E-020  -1.61783293E-020  -6.99059513E+003  -6.99059412E+003  -1.41574901E+004  -2.07922901E+002   3.62955407E-001  -3.63475918E-001   2.61205105E-002   1.19774305E+001   0.00000000E+000   1.03774558E+015   1.28245374E+012   1.00000000E-014   5.00000000E-013
        51     1.19999997E+001   7.17566599E+003  -1.88918953E-020  -3.49798137E-020  -1.19999997E+001   2.21298111E-020  -5.54383064E-020   1.50348348E-020  -6.99068842E+003  -6.99068724E+003  -1.41573037E+004  -2.08005205E+002   3.71040836E-001  -3.71532592E-001   2.66771163E-002   1.19769498E+001   0.00000000E+000   1.04256938E+015   1.51417329E+012   1.00000000E-014   5.10000000E-013
        52     1.19999997E+001   7.17539269E+003   6.43523769E-021   1.83736666E-020  -1.19999997E+001  -8.50991006E-021  -2.97732081E-020   7.67835367E-020  -6.99078212E+003  -6.99078078E+003  -1.41571165E+004  -2.08087869E+002   3.79161732E-001  -3.79624071E-001   2.72361508E-002   1.19764670E+001   0.00000000E+000   1.04750126E+015   1.76621120E+012   1.00000000E-014   5.20000000E-013
        53     1.19999997E+001   7.17511820E+003  -2.23524467E-020  -4.34637090E-020  -1.19999997E+001  -1.11133990E-020   3.13402190E-020  -3.56177354E-020  -6.99087623E+003  -6.99087472E+003  -1.41569284E+004  -2.08170892E+002   3.87319952E-001  -3.87758621E-001   2.77976190E-002   1.19759821E+001   0.00000000E+000   1.05253912E+015   2.03779169E+012   1.00000000E-014   5.30000000E-013
        54     1.19999997E+001   7.17484255E+003  -2.99858762E-020   2.43417748E-020  -1.19999997E+001  -3.04384061E-020   5.02714054E-020   2.49027686E-020  -6.99097073E+003  -6.99096906E+003  -1.41567396E+004  -2.08254264E+002   3.95524035E-001  -3.95940921E-001   2.83614536E-002   1.19754952E+001   0.00000000E+000   1.05767998E+015   2.32789138E+012   1.00000000E-014   5.40000000E-013
        55     1.19999997E+001   7.17456579E+003  -1.90011659E-021   6.95179130E-021  -1.19999997E+001   2.02789531E-021  -8.93619759E-021   2.50298236E-020  -6.99106561E+003  -6.99106379E+003  -1.41565500E+004  -2.08337976E+002   4.03763013E-001  -4.04170327E-001   2.89275866E-002   1.19750063E+001   0.00000000E+000   1.06292104E+015   2.63625583E+012   1.00000000E-014   5.50000000E-013
        56     1.19999997E+001   7.17428806E+003  -2.30163005E-020  -4.35965542E-020  -1.19999997E+001  -2.01725363E-020  -2.93073400E-020  -7.74611630E-020  -6.99116081E+003  -6.99115887E+003  -1.41563597E+004  -2.08421983E+002   4.12068679E-001  -4.12452137E-001   2.94957211E-002   1.19745157E+001   0.00000000E+000   1.06825950E+015   2.96298627E+012   1.00000000E-014   5.60000000E-013
        57     1.19999997E+001   7.17400949E+003  -2.57739139E-020   3.58605957E-020  -1.19999997E+001   8.25919162E-021   3.64647684E-020  -3.79047244E-020  -6.99125628E+003  -6.99125426E+003  -1.41561688E+004  -2.08506246E+002   4.20441578E-001  -4.20778951E-001   3.00656019E-002   1.19740236E+001   0.00000000E+000   1.07370872E+015   3.31968837E+012   1.00000000E-014   5.70000000E-013
        58     1.19999997E+001   7.17373015E+003  -5.63657413E-021  -1.15892967E-020  -1.19999997E+001  -2.10672562E-020  -4.02340650E-021  -1.39760436E-020  -6.99135200E+003  -6.99134992E+003  -1.41559775E+004  -2.08590739E+002   4.28838879E-001  -4.29154440E-001   3.06370404E-002   1.19735301E+001   0.00000000E+000   1.07926497E+015   3.70646243E+012   1.00000000E-014   5.80000000E-013
        59     1.19999997E+001   7.17345026E+003   2.01150473E-020   3.39399650E-020  -1.19999997E+001   8.38802500E-021   3.86670540E-020   7.22095588E-020  -6.99144790E+003  -6.99144578E+003  -1.41557857E+004  -2.08675405E+002   4.37280713E-001  -4.37568248E-001   3.12096529E-002   1.19730357E+001   0.00000000E+000   1.08492237E+015   4.12322436E+012   1.00000000E-014   5.90000000E-013
        60     1.19999997E+001   7.17316974E+003  -1.50313813E-020   4.55281864E-020  -1.19999997E+001   5.05006172E-021  -2.98579114E-020   1.93970545E-020  -6.99154397E+003  -6.99154190E+003  -1.41555935E+004  -2.08760259E+002   4.45701538E-001  -4.45995343E-001   3.17835312E-002   1.19725401E+001   0.00000000E+000   1.09067627E+015   4.56816341E+012   1.00000000E-014   6.00000000E-013
        61     1.19999997E+001   7.17288851E+003   4.36611156E-020  -3.69562791E-020  -1.19999997E+001   2.19717782E-020  -6.95414050E-020  -2.82485488E-020  -6.99164026E+003  -6.99163830E+003  -1.41554008E+004  -2.08845329E+002   4.54096008E-001  -4.54439642E-001   3.23588617E-002   1.19720434E+001   0.00000000E+000   1.09651989E+015   5.03818679E+012   1.00000000E-014   6.10000000E-013
        62     1.19999997E+001   7.17260630E+003   1.92050659E-022   1.95512410E-020  -1.19999997E+001   2.02565779E-020   4.67985703E-020   6.86096687E-020  -6.99173689E+003  -6.99173503E+003  -1.41552075E+004  -2.08930696E+002   4.62484816E-001  -4.62955868E-001   3.29362047E-002   1.19715448E+001   0.00000000E+000   1.10245334E+015   5.53165190E+012   1.00000000E-014   6.20000000E-013
        63     1.19999997E+001   7.17232326E+003  -1.76907463E-020   6.23379853E-021  -1.19999997E+001  -2.15946666E-020   2.25734280E-020   3.62530101E-020  -6.99183379E+003  -6.99183206E+003  -1.41550135E+004  -2.09016318E+002   4.70968115E-001  -4.71513598E-001   3.35152822E-002   1.19710448E+001   0.00000000E+000   1.10847270E+015   6.04750759E+012   1.00000000E-014   6.30000000E-013
        64     1.19999997E+001   7.17203880E+003   2.37804500E-020  -2.06628063E-020  -1.19999997E+001   1.42163396E-020   6.50521303E-020  -4.23516474E-023  -6.99193122E+003  -6.99192955E+003  -1.41548186E+004  -2.09102369E+002   4.79463548E-001  -4.80130432E-001   3.40972592E-002   1.19705423E+001   0.00000000E+000   1.11457519E+015   6.58227494E+012   1.00000000E-014   6.40000000E-013
        65     1.19999997E+001   7.17175286E+003  -3.19041494E-020   6.55918657E-020  -1.19999997E+001   2.46135863E-021  -3.99587793E-020   5.75135371E-020  -6.99202916E+003  -6.99202753E+003  -1.41546227E+004  -2.09188869E+002   4.87981044E-001  -4.88779248E-001   3.46822741E-002   1.19700372E+001   0.00000000E+000   1.12076772E+015   7.13969560E+012   1.00000000E-014   6.50000000E-013
