   iLoop   Phase     EVM               SVM                    B5                B4                B2                D6                D1                D4                C1                C5                C3                A6                C2                C3              
      71       1     1.19999997E+001   7.16999168E+003   6.96679720E-001   2.83814046E+003   2.83744379E+003  -4.00257141E-001  -1.71552610E+002  -1.71152353E+002   2.83760925E+003  -2.34788862E-001   2.83784404E+003   5.31211442E-001  -1.71387142E+002  -1.70855930E+002
      72       1     1.19999997E+001   7.16967918E+003   7.07981400E-001   2.83797703E+003   2.83726905E+003  -4.06502085E-001  -1.71634804E+002  -1.71228302E+002   2.83743697E+003  -2.38581931E-001   2.83767555E+003   5.40061246E-001  -1.71466884E+002  -1.70926823E+002
      73       1     1.19999997E+001   7.16937010E+003   7.18531224E-001   2.83781513E+003   2.83709660E+003  -4.11920187E-001  -1.71715732E+002  -1.71303812E+002   2.83726685E+003  -2.41666014E-001   2.83750852E+003   5.48277051E-001  -1.71545478E+002  -1.70997201E+002
      74       1     1.19999997E+001   7.16906589E+003   7.28905200E-001   2.83765581E+003   2.83692690E+003  -4.17235039E-001  -1.71795341E+002  -1.71378106E+002   2.83709931E+003  -2.44824002E-001   2.83734414E+003   5.56494162E-001  -1.71622930E+002  -1.71066436E+002
      75       1     1.19999997E+001   7.16875623E+003   7.39818782E-001   2.83749370E+003   2.83675388E+003  -4.23017326E-001  -1.71876665E+002  -1.71453648E+002   2.83692891E+003  -2.47988626E-001   2.83717690E+003   5.64790083E-001  -1.71701636E+002  -1.71136846E+002
      76       1     1.19999997E+001   7.16844679E+003   7.50344556E-001   2.83733155E+003   2.83658121E+003  -4.28319320E-001  -1.71957696E+002  -1.71529376E+002   2.83675876E+003  -2.50772623E-001   2.83700953E+003   5.72797859E-001  -1.71780149E+002  -1.71207351E+002
      77       1     1.19999997E+001   7.16813485E+003   7.60838704E-001   2.83716804E+003   2.83640720E+003  -4.33663930E-001  -1.72039327E+002  -1.71605663E+002   2.83658719E+003  -2.53671241E-001   2.83684086E+003   5.80846015E-001  -1.71859334E+002  -1.71278488E+002
      78       1     1.19999997E+001   7.16782046E+003   7.71345252E-001   2.83700334E+003   2.83623199E+003  -4.38695240E-001  -1.72121427E+002  -1.71682732E+002   2.83641418E+003  -2.56508322E-001   2.83667069E+003   5.89158334E-001  -1.71939241E+002  -1.71350082E+002
      79       1     1.19999997E+001   7.16750710E+003   7.82009542E-001   2.83683916E+003   2.83605715E+003  -4.44150435E-001  -1.72203464E+002  -1.71759314E+002   2.83624171E+003  -2.59595102E-001   2.83650131E+003   5.97454209E-001  -1.72018909E+002  -1.71421455E+002
      80       1     1.19999997E+001   7.16719029E+003   7.92668740E-001   2.83667305E+003   2.83588038E+003  -4.49876269E-001  -1.72286412E+002  -1.71836536E+002   2.83606727E+003  -2.62984166E-001   2.83633026E+003   6.05776638E-001  -1.72099520E+002  -1.71493743E+002
      81       1     1.19999997E+001   7.16687207E+003   8.03433058E-001   2.83650623E+003   2.83570280E+003  -4.55584008E-001  -1.72369749E+002  -1.71914165E+002   2.83589209E+003  -2.66292781E-001   2.83615838E+003   6.14141831E-001  -1.72180458E+002  -1.71566316E+002
      82       1     1.19999997E+001   7.16655277E+003   8.14300901E-001   2.83633893E+003   2.83552463E+003  -4.61209071E-001  -1.72453356E+002  -1.71992147E+002   2.83571631E+003  -2.69523554E-001   2.83598584E+003   6.22615384E-001  -1.72261670E+002  -1.71639055E+002
      83       1     1.19999997E+001   7.16623121E+003   8.25292022E-001   2.83617045E+003   2.83534516E+003  -4.66894302E-001  -1.72537584E+002  -1.72070690E+002   2.83553930E+003  -2.72753809E-001   2.83581206E+003   6.31151529E-001  -1.72343444E+002  -1.71712292E+002
      84       1     1.19999997E+001   7.16590609E+003   8.36109214E-001   2.83599998E+003   2.83516387E+003  -4.72333819E-001  -1.72622584E+002  -1.72150250E+002   2.83536045E+003  -2.75750758E-001   2.83563620E+003   6.39526153E-001  -1.72426001E+002  -1.71786475E+002
      85       1     1.19999997E+001   7.16557783E+003   8.47576725E-001   2.83582807E+003   2.83498050E+003  -4.78381748E-001  -1.72708736E+002  -1.72230354E+002   2.83517976E+003  -2.79115231E-001   2.83545888E+003   6.48310208E-001  -1.72509469E+002  -1.71861159E+002
      86       1     1.19999997E+001   7.16524910E+003   8.59070039E-001   2.83565602E+003   2.83479695E+003  -4.84149351E-001  -1.72794921E+002  -1.72310771E+002   2.83499881E+003  -2.82287717E-001   2.83528110E+003   6.57208405E-001  -1.72593059E+002  -1.71935850E+002
      87       1     1.19999997E+001   7.16491631E+003   8.70807471E-001   2.83548189E+003   2.83461108E+003  -4.90238998E-001  -1.72882221E+002  -1.72391982E+002   2.83481541E+003  -2.85902531E-001   2.83510132E+003   6.66471004E-001  -1.72677885E+002  -1.72011414E+002
      88       1     1.19999997E+001   7.16458081E+003   8.82140238E-001   2.83530617E+003   2.83442403E+003  -4.95765913E-001  -1.72969900E+002  -1.72474134E+002   2.83463064E+003  -2.89152590E-001   2.83491979E+003   6.75526915E-001  -1.72763287E+002  -1.72087760E+002
      89       1     1.19999997E+001   7.16424043E+003   8.93525248E-001   2.83512795E+003   2.83423443E+003  -5.00966064E-001  -1.73058677E+002  -1.72557711E+002   2.83444315E+003  -2.92243002E-001   2.83473540E+003   6.84802186E-001  -1.72849954E+002  -1.72165152E+002
      90       1     1.19999997E+001   7.16389586E+003   9.05557456E-001   2.83494757E+003   2.83404201E+003  -5.06987058E-001  -1.73149030E+002  -1.72642043E+002   2.83425354E+003  -2.95461493E-001   2.83454900E+003   6.94031891E-001  -1.72937505E+002  -1.72243473E+002
      91       1     1.19999997E+001   7.16354875E+003   9.19332605E-001   2.83476648E+003   2.83384715E+003  -5.15028198E-001  -1.73241083E+002  -1.72726054E+002   2.83406200E+003  -3.00176070E-001   2.83436218E+003   7.04480477E-001  -1.73026231E+002  -1.72321750E+002
      92       1     1.19999997E+001   7.16320205E+003   9.31571120E-001   2.83458488E+003   2.83365331E+003  -5.21468139E-001  -1.73332227E+002  -1.72810758E+002   2.83387138E+003  -3.03392578E-001   2.83417478E+003   7.13495560E-001  -1.73114151E+002  -1.72400655E+002
