   iLoop   Phase               EVM               SVM              EpVM             EelVM              ----               E11               E22               E33               E12               E13               E23              Ep11              Ep22              Ep33              Ep12              Ep13              Ep23
      51       1     1.19767676E+001   1.00002269E+000   2.68767148E-002   1.19999997E+001   0.00000000E+000  -1.09386928E-020  -3.11427829E-020  -1.19999997E+001  -6.60064279E-021  -3.76459088E-020   3.76459088E-020   7.13252374E-003   8.36065936E-003  -1.54931831E-002   7.74658495E-003   4.23910439E-004   4.36501160E-004
      52       1     1.19762907E+001   1.00002269E+000   2.74286231E-002   1.19999997E+001   0.00000000E+000   1.00844231E-020   2.87222312E-020  -1.19999997E+001   5.43059869E-021   1.50583635E-019   7.52918175E-020   7.28003052E-003   8.53128711E-003  -1.58113176E-002   7.90565207E-003   4.34140410E-004   4.45991202E-004
      53       1     1.19758122E+001   1.00002269E+000   2.79824260E-002   1.19999997E+001   0.00000000E+000  -1.55876116E-020   2.01460843E-020  -1.19999997E+001  -1.09996218E-020   1.12937726E-019   3.76459088E-020   7.42805887E-003   8.70248110E-003  -1.61305400E-002   8.06526311E-003   4.44416196E-004   4.55670081E-004
      54       1     1.19753316E+001   1.00002269E+000   2.85386614E-002   1.19999997E+001   0.00000000E+000   2.44185763E-020  -3.85559870E-021  -1.19999997E+001  -1.98994201E-020   0.00000000E+000  -1.12937726E-019   7.57676465E-003   8.87440292E-003  -1.64511676E-002   8.22557677E-003   4.54739497E-004   4.65307305E-004
      55       1     1.19748493E+001   1.00002269E+000   2.90968529E-002   1.19999997E+001   0.00000000E+000  -1.93512155E-020  -4.25066854E-020  -1.19999997E+001   1.31500984E-020   3.76459088E-020  -3.76459088E-020   7.72600836E-003   9.04691354E-003  -1.67729219E-002   8.38645380E-003   4.65116556E-004   4.75005061E-004
      56       1     1.19743651E+001   1.00002269E+000   2.96571891E-002   1.19999997E+001   0.00000000E+000   2.30869197E-020   8.83469463E-021  -1.19999997E+001  -4.45121182E-021  -2.25875453E-019   7.52918175E-020   7.87585875E-003   9.22005524E-003  -1.70959140E-002   8.54794971E-003   4.75484824E-004   4.84770622E-004
      57       1     1.19738799E+001   1.00002269E+000   3.02187608E-002   1.19999997E+001   0.00000000E+000   5.22648721E-021  -2.50538297E-020  -1.19999997E+001  -4.78521651E-021  -1.12937726E-019   0.00000000E+000   8.02610068E-003   9.39351987E-003  -1.74196206E-002   8.70980285E-003   4.85916047E-004   4.94514350E-004
      58       1     1.19733942E+001   1.00002269E+000   3.07809460E-002   1.19999997E+001   0.00000000E+000  -1.27426967E-021  -1.99975580E-020  -1.19999997E+001   6.24022326E-021   0.00000000E+000  -1.12937726E-019   8.17661880E-003   9.56706957E-003  -1.77436884E-002   8.87183662E-003   4.96410458E-004   5.04090684E-004
      59       1     1.19729137E+001   1.00002269E+000   3.13371255E-002   1.19999997E+001   0.00000000E+000   2.34989498E-021   9.74520364E-021  -1.19999997E+001   6.36421957E-021  -3.76459088E-020   1.12937726E-019   8.32572008E-003   9.73855116E-003  -1.80642712E-002   9.03212794E-003   5.06724995E-004   5.14711675E-004
      60       1     1.19724147E+001   1.00002269E+000   3.19146797E-002   1.19999997E+001   0.00000000E+000   1.68092148E-020  -1.88386615E-020  -1.19999997E+001   1.09576928E-020  -1.12937726E-019   7.52918175E-020   8.48048701E-003   9.91668549E-003  -1.83971725E-002   9.19857845E-003   5.17145351E-004   5.25998841E-004
      61       1     1.19719270E+001   1.00002269E+000   3.24791253E-002   1.19999997E+001   0.00000000E+000   2.93407800E-020  -1.74787949E-020  -1.19999997E+001   2.04400494E-021  -7.52918175E-020   0.00000000E+000   8.63164478E-003   1.00908881E-002  -1.87225329E-002   9.36125849E-003   5.27791662E-004   5.35904170E-004
      62       1     1.19714367E+001   1.00002269E+000   3.30467430E-002   1.19999997E+001   0.00000000E+000  -3.83308818E-021  -2.05650240E-020  -1.19999997E+001   1.68571753E-020  -7.52918175E-020   3.76459088E-020   8.78362719E-003   1.02660963E-002  -1.90497235E-002   9.52485366E-003   5.38616472E-004   5.45643600E-004
      63       1     1.19709440E+001   1.00002269E+000   3.36170443E-002   1.19999997E+001   0.00000000E+000  -8.38882849E-021   3.02260197E-020  -1.19999997E+001  -8.44540769E-021  -2.25875453E-019   3.76459088E-020   8.93632081E-003   1.04421389E-002  -1.93784597E-002   9.68922163E-003   5.49490104E-004   5.55460767E-004
      64       1     1.19704488E+001   1.00002269E+000   3.41902422E-002   1.19999997E+001   0.00000000E+000   3.07726267E-021   3.02773595E-021  -1.19999997E+001  -2.09745395E-021   0.00000000E+000   0.00000000E+000   9.08972618E-003   1.06191354E-002  -1.97088616E-002   9.85442243E-003   5.60406252E-004   5.65389557E-004
      65       1     1.19699512E+001   1.00002269E+000   3.47662076E-002   1.19999997E+001   0.00000000E+000   2.39617780E-020  -1.53401075E-020  -1.19999997E+001  -1.85523256E-022   0.00000000E+000   1.50583635E-019   9.24384447E-003   1.07970159E-002  -2.00408604E-002   1.00204217E-002   5.71340112E-004   5.75297744E-004
      66       1     1.19694508E+001   1.00002269E+000   3.53454974E-002   1.19999997E+001   0.00000000E+000   2.51618721E-021  -3.14924381E-020  -1.19999997E+001   1.87531072E-021  -3.76459088E-020   3.76459088E-020   9.39872749E-003   1.09760389E-002  -2.03747664E-002   1.01873746E-002   5.82372147E-004   5.85373708E-004
      67       1     1.19689473E+001   1.00002269E+000   3.59282675E-002   1.19999997E+001   0.00000000E+000   1.32172979E-022   2.84399500E-020  -1.19999997E+001  -1.87007543E-020   0.00000000E+000  -3.76459088E-020   9.55456884E-003   1.11561115E-002  -2.07106803E-002   1.03553314E-002   5.93387339E-004   5.95561378E-004
      68       1     1.19684355E+001   1.00002269E+000   3.65206480E-002   1.19999997E+001   0.00000000E+000  -9.93626477E-021   2.33617131E-020  -1.19999997E+001  -1.86208714E-020  -1.12937726E-019   7.52918175E-020   9.71415717E-003   1.13380506E-002  -2.10522078E-002   1.05260950E-002   6.03368383E-004   6.06081176E-004
      69       1     1.19679102E+001   1.00002269E+000   3.71286407E-002   1.19999997E+001   0.00000000E+000   5.05547731E-021   3.99349624E-020  -1.19999997E+001  -1.08091755E-021   7.52918175E-020   0.00000000E+000   9.87723574E-003   1.15254897E-002  -2.14027254E-002   1.07013536E-002   6.14523772E-004   6.15385699E-004
      70       1     1.19673940E+001   1.00002269E+000   3.77262442E-002   1.19999997E+001   0.00000000E+000   3.97212740E-020   5.53510923E-021  -1.19999997E+001  -5.19154565E-021   0.00000000E+000   3.76459088E-020   1.00361458E-002   1.17110177E-002  -2.17471635E-002   1.08735725E-002   6.25555216E-004   6.25802382E-004
      71       1     1.19668718E+001   1.00002269E+000   3.83307183E-002   1.19999997E+001   0.00000000E+000  -4.61008686E-021  -6.37736865E-021  -1.19999997E+001   1.28731295E-020   7.52918175E-020   1.88229544E-019   1.01973730E-002   1.18982540E-002  -2.20956269E-002   1.10478041E-002   6.36271525E-004   6.35119009E-004
      72       1     1.19663337E+001   1.00002269E+000   3.89536829E-002   1.19999997E+001   0.00000000E+000   2.65903742E-020   3.43274210E-020  -1.19999997E+001   1.18144028E-020  -7.52918175E-020   0.00000000E+000   1.03637278E-002   1.20909643E-002  -2.24546922E-002   1.12273365E-002   6.48664567E-004   6.45664819E-004
